"ExpertGroup","SpeciesCommonName","StockKeyLabel","DataCategory","AssessmentType"
"HAWG","Sprat","spr.27.3a4","1","Age-based analytical assessment (SMS) that uses landings in the model."
"WGDEEP","Ling","lin.27.1-2","3.2","Cpue trends-based assessment"
"WGDEEP","Ling","lin.27.5b","3.2","Survey cpue trends-based assessment"
"WGDEEP","Ling","lin.27.5a","1","Age- and length-structured model (Gadget)"
"WGDEEP","Ling","lin.27.3a4a6-91214","3.2","Cpue trends-based assessment"
"WGCSE","Megrim","lez.27.4a6a","1","Bayesian state–space biomass dynamic model that uses catches in the model and in the forecast."
"WGCSE","Megrim","lez.27.6b","3.2","Survey trends-based assessment"
"WGBIE","Four-spot megrim","ldb.27.8c9a","1","Age-structured model (XSA)"
"WGBIE","Megrim","meg.27.7b-k8abd","1","Bayesian statistical catch at age using catches in the model and forecast"
"WGBIE","Megrim","meg.27.8c9a","1","Age-structured model (XSA)"
"WGNSSK","Norway lobster","nep.fu.10","4.14","Data-limited approach for Nephrops"
"WGCSE","Norway lobster","nep.fu.11","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.12","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.13","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.14","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.15","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.16","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.17","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGCSE","Norway lobster","nep.fu.19","1","Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data"
"WGBFAS","Plaice","ple.27.21-23","1","Age-structured model (SAM)"
"WGBFAS","Plaice","ple.27.24-32","3","Exploratory age-based analytical assessment (SAM) considered indicative of trends only"
"WGCSE","Plaice","ple.27.7bc","6.2","no assessment"
"WGCSE","Plaice","ple.27.7h-k","3.2","Age-based analytical assessment (XSA) indicative of stock trends."
"WGBIE","Plaice","ple.27.89a","5.2","no assessment"
"WGCSE","Plaice","ple.27.7fg","3.2","SPiCT used for trends"
"WGNSSK","Plaice","ple.27.7d","1","Age-structured model (Aarts and Poos)"
"WGCSE","Plaice","ple.27.7e","3.2","Age-based analytical assessment (XSA)"
"NWWG","Haddock","had.27.5a","1","Age-structured model"
"WGWIDE","Herring","her.27.1-24a514a","1","Statistical assessment model (XSAM)"
"WGBFAS","Herring","her.27.28","1","Age-structured model (XSA)"
"NWWG","Herring","her.27.5a","1","Age-structured model (NFT-ADAPT)"
"WGBIE","Hake","hke.27.3a46-8abd","1","Age- and length-structured model (SS3) that uses landings and some discards in the model"
"WGBFAS","Herring","her.27.25-2932","1","Age-structured model (XSA)"
"WGHANSA","Blue jack mackerel","jaa.27.10a2","5","No assessment"
"WGBIE","Pollack","pol.27.89a","5.2","no assessment"
"WGCSE","Pollack","pol.27.67","4.12","DCAC (Depletion-Corrected Average Catch)."
"WGNSSK","Pollack","pol.27.3a4","5.2","no assessment"
"WGEF","Porbeagle","por.27.nea","6.3","no assessment"
"WGEF","Rays and skates","raj.27.3a47d","6.9","no assessment"
"WGEF","Rays and skates","raj.27.89a","5.9","no assessment"
"WGEF","Rays and skates","raj.27.67a-ce-h","6.9","no assessment"
"WGEF","Rays and skates","raj.27.1012","3.2","Survey trends-based assessment"
"WGEF","Common skate","rjb.27.89a","6.3","no assessment"
"WGEF","Common skate","rjb.27.67a-ce-k","6.3","no assessment"
"WGEF","Thornback ray","rjc.27.7afg","3.2","Survey trends-based assessment"
"WGEF","Thornback ray","rjc.27.8","3.2","Survey trends-based assessment"
"WGEF","Thornback ray","rjc.27.7e","5.2","no assessment"
"WGEF","Thornback ray","rjc.27.9a","3.2","Survey trends-based assessment"
"WGEF","Thornback ray","rjc.27.6","3.2","Survey trends-based assessment"
"WGEF","Small-eyed ray","rje.27.7fg","3.2","Survey trends-based assessment"
"WGEF","Small-eyed ray","rje.27.7de","5.2","no assessment"
"WGEF","Shagreen ray","rjf.27.67","5.2","no assessment"
"WGEF","Blonde ray","rjh.27.7afg","5.2","no assessment"
"WGEF","Blonde ray","rjh.27.9a","3.2","LPUE-based trends"
"WGEF","Sandy ray","rji.27.67","5.2","no assessment"
"WGEF","Spotted ray","rjm.27.3a47d","3.2","Survey trends-based assessment"
"WGEF","Spotted ray","rjm.27.8","3.2","Survey trends-based assessment"
"WGEF","Spotted ray","rjm.27.9a","3.2","Survey trends-based assessment"
"WGEF","Cuckoo ray","rjn.27.9a","3.2","Survey trends-based assessment"
"WGEF","Undulate ray","rju.27.7de","3.2","Survey trends-based assessment"
"WGDEEP","Roundnose grenadier","rng.27.5a10b12ac14b","5.2","no assessment"
"WGDEEP","Roundnose grenadier","rng.27.5b6712b","5.2","catch only"
"WGDEEP","Roundnose grenadier","rng.27.3a","3.2","Trend based assessment"
"WGDEEP","Roundnose grenadier","rng.27.1245a8914ab","6.2","no assessment"
"WGNSSK","Saithe","pok.27.3a46","1","Age-based analytical assessment (SAM)"
"AFWG","Saithe","pok.27.1-2","1","Age-structured model (SAM) that uses landings in the model and the forecast"
"HAWG","Sandeel","san.sa.1r","1","Age-structured model (SMS-effort), seasonal"
"HAWG","Sandeel","san.sa.2r","1.2","Age-structured model (SMS-effort), seasonal"
"HAWG","Sandeel","san.sa.3r","1","Age-structured model (SMS-effort), seasonal"
"HAWG","Sandeel","san.sa.4","1","Age-structured model (SMS-effort), half-yearly time-step."
"HAWG","Sandeel","san.sa.5r","5.3","no assessment"
