"StockKeyLabel","ExpertGroup","SpeciesCommonName","DataCategory","Method","AssessmentType"
"agn.27.nea","WGEF","Angel shark",6.3,"No assessment","no assessment"
"alf.27.nea","WGDEEP","Alfonsinos",5.2,"No assessment","no assessment"
"ane.27.8","WGHANSA","Anchovy",1,"CBBM","Two-stage Bayesian biomass dynamic model (CBBM)"
"ane.27.9a","WGHANSA","Anchovy",3,"Gadget-DLS","Gardet model used for trends only"
"anf.27.1-2","AFWG","Anglerfish",4,"No assessment",""
"anf.27.3a46","WGCSE","Anglerfish",3.2,"Survey-DLS","Survey trends-based assessment"
"ank.27.78abd","WGBIE","Black-bellied anglerfish",3.2,"Survey-DLS","Survey trends-based assessment"
"ank.27.8c9a","WGBIE","Black-bellied anglerfish",3.2,"SPiCT-DLS","SPiCT relative results"
"aru.27.123a4","WGDEEP","Greater silver smelt",3.2,"Survey-DLS","Survey trends-based assessment"
"aru.27.5a14","WGDEEP","Greater silver smelt",3.3,"Survey-DLS","Survey trends-based assessment"
"aru.27.5b6a","WGDEEP","Greater silver smelt",3.2,"Survey-DLS","Survey trends-based assessment"
"aru.27.6b7-1012","WGDEEP","Greater silver smelt",3.2,"Survey-DLS","Survey trends-based assessment"
"bli.27.5a14","WGDEEP","Blue ling",3.3,"Survey-DLS","Survey trends-based assessment"
"bli.27.5b67","WGDEEP","Blue ling",1,"MYCC","Age-structured model (MYCC), multi-year catch curves fitted to age composition and total catch in order to estimate annual total mortality (Z)"
"bli.27.nea","WGDEEP","Blue ling",5.3,"No assessment","Catch trends-based assessment"
"bll.27.22-32","WGBFAS","Brill",3.2,"Survey-DLS","Survey trends-based assessment"
"bll.27.3a47de","WGNSSK","Brill",3.2,"CPUE-DLS","Commercial lpue trends-based assessment"
"boc.27.6-8","WGWIDE","Boarfish",3.2,"Schaefer-DLS","Exploratory Bayesian Schaefer surplus production model"
"bsf.27.nea","WGDEEP","Black scabbardfish",3.2,"Survey-DLS","Trends-based assessment"
"bsk.27.nea","WGEF","Basking shark",6.3,"No assessment","no assessment"
"bss.27.4bc7ad-h","WGCSE","Seabass",1.2,"SS3","Age- and length-structured model (SS3), uses landings in the model and in the forecast"
"bss.27.6a7bj","WGCSE","Seabass",6.2,"No assessment","no assessment"
"bss.27.8ab","WGBIE","Seabass",1,"SS3","Age- and length-based analytical assessment (Stock Synthesis 3, NOAA toolbox)"
"bss.27.8c9a","WGBIE","Seabass",5.2,"No assessment","no assessment"
"cap.27.1-2","AFWG","Capelin",1.8,"Age-based","Age-structured model, based on acoustic survey and prediction six months ahead to calculate spawning biomass. The model estimates maturity, growth, and mortality (including predation by immature cod on pre-spawning capelin). Target escapement strateg"
"cap.27.2a514","NWWG","Capelin",1.8,"Age-based","Age-structured model, takes into account CV in surveys and predation from cod, haddock, and saithe of capelin and p(SSB< Blim|Catch)< 0.05"
"cod.21.1","NWWG","Cod",1,"SAM","SAM"
"cod.21.1a-e","NWWG","Cod",3,"Survey-DLS","survey trends"
"cod.2127.1f14","NWWG","Cod",1,"SAM","age-based model"
"cod.27.1-2","AFWG","Cod",1,"SAM","SAM, with cannibalism estimated"
"cod.27.1-2coast","AFWG","Cod",3,"VPA-DLS","Based on survey SSB survey index and estimates of F and relative recuitment from an exploratory VPA assessment"
"cod.27.21","WGBFAS","Cod",3.2,"SAM-DLS","Age-based analytical assessment (stochastic state–space model SAM) considered indicative of trends only"
"cod.27.22-24","WGBFAS","Cod",1,"SAM","Age-structured model (SAM)"
"cod.27.24-32","WGBFAS","Cod",1,"SS3","Age-based assessment"
"cod.27.47d20","WGNSSK","Cod",1,"SAM","Age-structured model (SAM)"
"cod.27.5a","NWWG","Cod",1,"SCA","Age-structured model, forward-based statistical catch-at-age model that is implemented in the AD Model Builder, using catches in the model and in the forecast"
"cod.27.5b1","NWWG","Cod",1.7,"SAM","SAM"
"cod.27.5b2","NWWG","Cod",3.8,"Survey-DLS","Survey trends-based assessment"
"cod.27.6a","WGCSE","Cod",1.2,"TSA","Age-structured model (TSA), uses catches in the model and in the forecast"
"cod.27.6b","WGCSE","Cod",6.2,"No assessment","no assessment"
"cod.27.7a","WGCSE","Cod",3,"Survey-DLS","Survey trends"
"cod.27.7e-k","WGCSE","Cod",1,"XSA","Age-structured model (XSA), uses landings in the model and in the forecast"
"cyo.27.nea","WGEF","Portuguese dogfish",6.3,"No assessment","no assessment"
"dab.27.22-32","WGBFAS","Dab",3.2,"Survey-DLS","Survey trends-based assessment"
"dab.27.3a4","WGNSSK","Dab",3.2,"Survey-DLS","Survey trends-based assessment"
"dgs.27.nea","WGEF","Spurdog",1.2,"Age-length based","Age- and length-structured model, with separate sexes"
"ele.2737.nea","WGEEL","Eel",3.14,"Survey-DLS","Trends-based assessment"
"fle.27.2223","WGBFAS","Flounder",3.2,"Survey-DLS","Survey trends-based assessment"
"fle.27.2425","WGBFAS","Flounder",3.2,"Survey-DLS","Survey trends-based assessment"
"fle.27.2628","WGBFAS","Flounder",3.2,"Survey-DLS","Survey trends-based assessment"
"fle.27.2729-32","WGBFAS","Flounder",3.2,"Survey-DLS","Survey trends-based assessment"
"fle.27.3a4","WGNSSK","Flounder",3.2,"Survey-DLS","Survey trends-based assessment"
"gag.27.nea","WGEF","Tope",5.2,"No assessment","no assessment"
"gfb.27.nea","WGDEEP","Greater forkbeard",3.2,"Survey-DLS","Survey trends-based assessment"
"ghl.27.1-2","AFWG","Greenland halibut",1,"Gadget","Age- and length-structured model (Gadget)"
"ghl.27.561214","NWWG","Greenland halibut",1,"Biomass model","probabilistic (Bayesian) version of a surplus production model"
"gug.27.3a47d","WGNSSK","Grey gurnard",3.2,"Survey-DLS","Survey trends-based assessment"
"guq.27.nea","WGEF","Leafscale gulper shark",6.3,"No assessment","no assessment"
"gur.27.3-8","WGWIDE","Red gurnard",6.2,"No assessment","no assessment"
